RGB,Name,RomanName,R,G,B,Hue,Saturation,Brightness
#DC9FB4,撫子,NADESHIKO,220,159,180,339.344300,0.465649,0.743137
#E16B8C,紅梅,KOHBAI,225,107,140,343.220300,0.662921,0.650980
#8E354A,蘇芳,SUOH,142,53,74,345.842700,0.456410,0.382353
#F8C3CD,退紅,TAIKOH,248,195,205,348.679300,0.791045,0.868627
#F4A7B9,一斥染,IKKONZOME,244,167,185,345.974000,0.777778,0.805882
#64363C,桑染,KUWAZOME,100,54,60,352.173900,0.298701,0.301961
#F596AA,桃,MOMO,245,150,170,347.368400,0.826087,0.774510
#B5495B,苺,ICHIGO,181,73,91,350.000000,0.425197,0.498039
#E87A90,薄紅,USUBENI,232,122,144,348.000000,0.705128,0.694118
#D05A6E,今様,IMAYOH,208,90,110,349.830500,0.556604,0.584314
#DB4D6D,中紅,NAKABENI,219,77,109,346.478900,0.663551,0.580392
#FEDFE1,桜,SAKURA,254,223,225,356.129000,0.939394,0.935294
#9E7A7A,梅鼠,UMENEZUMI,158,122,122,0.000001,0.156522,0.549020
#D0104C,韓紅花,KARAKURENAI,208,16,76,341.250000,0.857143,0.439216
#9F353A,燕脂,ENJI,159,53,58,357.169800,0.500000,0.415686
#CB1B45,紅,KURENAI,203,27,69,345.681800,0.765217,0.450980
#EEA9A9,鴇,TOKI,238,169,169,0.000004,0.669903,0.798039
#BF6766,長春,CYOHSYUN,191,103,102,0.674158,0.410138,0.574510
#86473F,深緋,KOKIAKE,134,71,63,6.760566,0.360406,0.386275
#B19693,桜鼠,SAKURANEZUMI,177,150,147,6.000011,0.161290,0.635294
#EB7A77,甚三紅,JINZAMOMI,235,122,119,1.551724,0.743590,0.694118
#954A45,小豆,AZUKI,149,74,69,3.750002,0.366973,0.427451
#A96360,蘇芳香,SUOHKOH,169,99,96,2.465755,0.297959,0.519608
#CB4042,赤紅,AKABENI,203,64,66,359.136700,0.572017,0.523529
#AB3B3A,真朱,SHINSYU,171,59,58,0.530974,0.493450,0.449020
#D7C4BB,灰桜,HAIZAKURA,215,196,187,19.285720,0.259259,0.788235
#904840,栗梅,KURIUME,144,72,64,6.000002,0.384615,0.407843
#734338,海老茶,EBICHA,115,67,56,11.186440,0.345029,0.335294
#C73E3A,銀朱,GINSYU,199,62,58,1.702128,0.557312,0.503922
#554236,黒鳶,KUROTOBI,85,66,54,23.225810,0.223022,0.272549
#994639,紅鳶,BENITOBI,153,70,57,8.125002,0.457143,0.411765
#F19483,曙,AKEBONO,241,148,131,9.272731,0.797101,0.729412
#B54434,紅樺,BENIKABA,181,68,52,7.441862,0.553648,0.456863
#B9887D,水がき,MIZUGAKI,185,136,125,11.000010,0.300000,0.607843
#F17C67,珊瑚朱,SANGOSYU,241,124,103,9.130435,0.831325,0.674510
#884C3A,紅檜皮,BENIHIWADA,136,76,58,13.846160,0.402062,0.380392
#E83015,猩猩緋,SYOJYOHI,232,48,21,7.677725,0.833992,0.496078
#D75455,鉛丹,ENTAN,215,84,85,359.542000,0.620853,0.586275
#B55D4C,芝翫茶,SHIKANCHA,181,93,76,9.714287,0.415020,0.503922
#854836,檜皮,HIWADA,133,72,54,13.670890,0.422460,0.366667
#A35E47,柿渋,KAKISHIBU,163,94,71,15.000000,0.393162,0.458824
#CC543A,緋,AKE,204,84,58,10.684930,0.588710,0.513726
#724832,鳶,TOBI,114,72,50,20.625000,0.390244,0.321569
#F75C2F,紅緋,BENIHI,247,92,47,13.500000,0.925926,0.576471
#6A4028,栗皮茶,KURIKAWACHA,106,64,40,21.818180,0.452055,0.286275
#9A5034,弁柄,BENGARA,154,80,52,16.470590,0.495146,0.403922
#C46243,照柿,TERIGAKI,196,98,67,14.418600,0.522267,0.515686
#AF5F3C,江戸茶,EDOCHA,175,95,60,18.260870,0.489362,0.460784
#FB966E,洗朱,ARAISYU,251,150,110,17.021280,0.946309,0.707843
#724938,百塩茶,MOMOSHIOCHA,114,73,56,17.586210,0.341177,0.333333
#B47157,唐茶,KARACHA,180,113,87,16.774190,0.382716,0.523529
#DB8E71,ときがら茶,TOKIGARACHA,219,142,113,16.415100,0.595506,0.650980
#F05E1C,黄丹,OHNI,240,94,28,18.679240,0.876033,0.525490
#ED784A,纁,SOHI,237,120,74,16.932520,0.819096,0.609804
#CA7853,遠州茶,ENSYUCHA,202,120,83,18.655460,0.528889,0.558824
#B35C37,樺茶,KABACHA,179,92,55,17.903230,0.529915,0.458824
#563F2E,焦茶,KOGECHA,86,63,46,25.500000,0.303030,0.258824
#E3916E,赤香,AKAKOH,227,145,110,17.948720,0.676301,0.660784
#8F5A3C,雀茶,SUZUMECHA,143,90,60,21.686750,0.408867,0.398039
#F0A986,宍,SHISHI,240,169,134,19.811320,0.779412,0.733333
#A0674B,宗伝唐茶,SODENKARACHA,160,103,75,19.764710,0.361702,0.460784
#C1693C,樺,KABA,193,105,60,20.300750,0.525692,0.496078
#FB9966,深支子,KOKIKUCHINASHI,251,153,102,20.536910,0.949045,0.692157
#947A6D,胡桃,KURUMI,148,122,109,20.000000,0.154150,0.503922
#A36336,代赭,TAISYA,163,99,54,24.770640,0.502304,0.425490
#E79460,洗柿,ARAIGAKI,231,148,96,23.111110,0.737705,0.641177
#7D532C,黄櫨染,KOHROZEN,125,83,44,28.888890,0.479290,0.331373
#C78550,赤朽葉,AKAKUCHIBA,199,133,80,26.722690,0.515152,0.547059
#985F2A,礪茶,TONOCHA,152,95,42,28.909090,0.567010,0.380392
#E1A679,赤白橡,AKASHIROTSURUBAMI,225,166,121,25.961540,0.634146,0.678431
#855B32,煎茶,SENCHA,133,91,50,29.638550,0.453552,0.358824
#FC9F4D,萱草,KANZO,252,159,77,28.114290,0.966851,0.645098
#FFBA84,洒落柿,SHAREGAKI,255,186,132,26.341460,1.000000,0.758824
#E98B2A,紅鬱金,BENIUKON,233,139,42,30.471210,0.812766,0.539216
#E9A368,梅染,UMEZOME,233,163,104,27.441860,0.745665,0.660784
#B17844,枇杷茶,BIWACHA,177,120,68,28.623850,0.444898,0.480392
#96632E,丁子茶,CHOJICHA,150,99,46,30.576920,0.530612,0.384314
#43341B,憲法染,KENPOHZOME,67,52,27,37.500000,0.425532,0.184314
#CA7A2C,琥珀,KOHAKU,202,122,44,29.620250,0.642276,0.482353
#ECB88A,薄柿,USUGAKI,236,184,138,28.163270,0.720588,0.733333
#78552B,伽羅,KYARA,120,85,43,32.727280,0.472393,0.319608
#B07736,丁子染,CHOJIZOME,176,119,54,31.967210,0.530435,0.450980
#967249,柴染,FUSHIZOME,150,114,73,31.948050,0.345292,0.437255
#E2943B,朽葉,KUCHIBA,226,148,59,31.976050,0.742222,0.558824
#C7802D,金茶,KINCHA,199,128,45,32.337670,0.631148,0.478431
#9B6E23,狐,KITSUNE,155,110,35,37.500000,0.631579,0.372549
#6E552F,煤竹,SUSUTAKE,110,85,47,36.190480,0.401274,0.307843
#EBB471,薄香,USUKOH,235,180,113,32.950820,0.753086,0.682353
#D7B98E,砥粉,TONOKO,215,185,142,35.342470,0.477124,0.700000
#82663A,銀煤竹,GINSUSUTAKE,130,102,58,36.666660,0.382979,0.368628
#B68E55,黄土,OHDO,182,142,85,35.257740,0.399177,0.523529
#BC9F77,白茶,SHIRACHA,188,159,119,34.782610,0.339902,0.601961
#876633,媚茶,KOBICHA,135,102,51,36.428570,0.451613,0.364706
#C18A26,黄唐茶,KIGARACHA,193,138,38,38.709680,0.670996,0.452941
#FFB11B,山吹,YAMABUKI,255,177,27,39.473690,1.000000,0.552941
#D19826,山吹茶,YAMABUKICHA,209,152,38,40.000000,0.692308,0.484314
#DDA52D,櫨染,HAJIZOME,221,165,45,40.909090,0.721312,0.521569
#C99833,桑茶,KUWACHA,201,152,51,40.400000,0.595238,0.494118
#F9BF45,玉子,TAMAGO,249,191,69,40.666670,0.937500,0.623529
#DCB879,白橡,SHIROTSURUBAMI,220,184,121,38.181820,0.585799,0.668627
